Tract,Pop_Tot,Pop_18,%White,%Black,%Hispanic_Latino,%Asian,%Other,%Mixed,%Edu_hs,%Edu_bac,J_Tot,J_W_1,J_B_1,J_W_2,J_B_2,J_B_3,Median_Inc,Agg_Inc,M_Age_Wor,M_Age_All,Transit_all,Perc_Drive,Perc_Transit_all,Perc_Bus,Perc_Subway
36005020000,4711,3310,2.759499044788792,9.382296752281894,61.197198047123756,23.3920611335173,2.080237741456166,1.188707280832095,71.87311178247734,23.685800604229605,1934,420,622,383,175,334,40184,78328200.0,42.0,32.7,1338,17.67755313634007,69.36236391912908,11.145671332296526,58.21669258683255
36005020501,6976,5313,1.0464449541284404,26.333142201834864,71.5309633027523,0.7884174311926605,0.0,0.30103211009174313,71.05213626952758,9.655561829474873,2333,562,737,663,225,146,17601,101308000.0,37.1,34.3,1527,16.75953707672525,65.4522074582083,27.346763823403343,38.10544363480497
36005020502,2160,1737,1.6666666666666667,26.435185185185183,71.48148148148148,0.1388888888888889,0.0,0.2777777777777778,64.82440990213011,17.962003454231436,922,221,382,186,23,110,18919,40917200.0,33.6,39.3,555,24.831460674157306,62.35955056179775,26.29213483146067,33.82022471910112
36005020900,4287,3297,3.8255190109633777,37.60205271751808,57.87263820853744,0.2565896897597387,0.2099370188943317,0.2332633543270352,74.3099787685775,14.922656960873521,1755,380,705,382,79,209,31190,64260200.0,41.0,36.4,1178,19.557416267942585,70.45454545454545,13.098086124401915,57.35645933014354
36005021001,8930,7185,2.1836506159014557,50.47032474804032,36.12541993281075,8.80179171332587,1.2094064949608063,1.2094064949608063,85.90118302018094,24.982602644398053,4606,1384,1325,1086,320,491,54076,252806100.0,40.3,39.0,3059,22.05716857978843,68.84987620976818,15.890164303398604,51.49673643934278
36005021002,7613,5836,1.1296466570340207,46.82779456193353,30.1852095100486,20.780244318928148,0.144489688690398,0.9326152633652962,87.18300205620288,26.559287183002056,3573,1333,1152,600,115,373,55961,209107800.0,39.9,33.5,2387,23.919885550786837,68.29756795422031,14.334763948497853,53.96280400572246
36005021700,5124,3906,1.9711163153786107,46.77985948477752,47.81420765027322,2.537080405932865,0.273224043715847,0.624512099921936,75.65284178187403,9.575012800819252,2289,317,852,512,170,438,36420,87551400.0,39.0,34.0,1477,21.040925266903916,65.70284697508897,10.008896797153024,55.693950177935946
36005022101,4133,2657,0.26615049600774254,21.65497217517542,71.54609242680861,5.685942414710864,0.19356399709654004,0.6532784902008226,65.33684606699285,16.447120812946935,1547,439,619,185,120,184,32600,55654200.0,37.8,28.4,981,11.75684702738811,65.53106212424849,7.014028056112225,55.845023380093515
36005022102,5411,3852,1.0164479763444834,13.25078543707263,84.10644982443172,0.60986878580669,0.0,1.0164479763444834,64.77154724818276,9.553478712357217,2187,333,984,347,265,258,32792,66743300.0,38.9,30.0,1416,15.563839701770737,65.98322460391427,10.531220876048462,53.91425908667288
36005022200,3293,2569,5.496507743698755,10.689341026419678,48.34497418767082,28.302459763133918,4.0996052232007285,3.067112055876101,76.449980537174,14.986376021798364,1594,383,546,359,83,223,51064,62821200.0,36.4,34.5,1118,20.922882427307208,70.67003792667509,11.314791403286979,56.573957016434896
36005023800,2241,1678,18.25078090138331,16.956715751896475,53.81526104417671,7.764390896921017,0.0,3.2128514056224895,80.81048867699643,20.38140643623361,1086,335,324,274,40,113,52599,51922000.0,35.8,33.7,541,29.65009208103131,49.8158379373849,16.574585635359114,32.59668508287293
36005016000,3666,3002,53.54609929078015,3.1369339879978178,36.852154937261325,3.709765411893071,2.2640480087288597,0.4909983633387889,85.60959360426382,25.4163890739507,1866,632,319,574,145,196,79756,134999600.0,46.1,45.5,413,65.56399132321042,22.39696312364425,8.676789587852495,13.720173535791758
36005016200,1870,1471,31.60427807486631,4.171122994652406,59.03743315508021,4.652406417112299,0.53475935828877,0.0,83.14072059823249,19.57851801495581,842,317,172,251,42,60,81210,63229600.0,43.5,44.2,237,64.13959085439231,28.51985559566787,8.303249097472925,20.216606498194945
36005016500,965,682,0.0,46.01036269430052,53.056994818652846,0.932642487046632,0.0,0.0,79.03225806451613,12.316715542521994,386,70,159,78,0,79,26739,13138400.0,37.5,31.3,197,27.027027027027028,53.24324324324324,27.837837837837835,21.35135135135135
36005017500,6536,5288,2.8304773561811505,35.66401468788249,57.84883720930233,0.26009791921664627,1.591187270501836,1.8053855569155446,66.09304084720121,8.509833585476551,2745,356,1521,371,220,277,26630,115265800.0,35.5,34.7,1871,8.871892925430211,71.54875717017208,33.30783938814532,38.24091778202677
36005021501,4565,3130,1.226725082146769,21.642935377875137,76.99890470974809,0.0,0.0,0.13143483023001096,68.6261980830671,13.162939297124602,1718,285,667,391,135,240,33750,66249500.0,36.0,27.1,1076,23.37278106508876,63.66863905325444,27.39644970414201,35.38461538461539
36005021502,6532,4558,0.2908756889161053,23.270055113288425,75.03061849357012,0.0,0.612369871402327,0.7960808328230252,67.06888986397543,15.072400175515577,2231,235,860,496,137,503,25238,79297000.0,38.5,30.6,1469,21.02196324518153,65.84491259524877,21.201255042581803,40.609592111160914
36005023000,2802,1935,19.02212705210564,17.808708065667382,51.67737330478231,9.172019985724482,0.0,2.3197715917201998,79.01808785529715,22.48062015503876,1240,356,315,319,80,170,38958,54656600.0,34.9,30.6,581,38.0327868852459,47.622950819672134,12.295081967213115,30.0
36005025300,6199,4318,0.3871592192289079,13.389256331666397,79.56121955154057,3.4360380706565574,1.4518470721084045,1.774479754799161,68.92079666512274,11.278369615562761,2601,318,1278,501,122,382,36481,82839200.0,37.5,30.0,1562,13.554578168732506,62.45501799280287,13.034786085565775,49.06037584966014
36005026100,2097,1732,4.721030042918455,46.11349546971864,43.29995231282785,3.338102050548403,0.0,2.527420123986648,90.87759815242494,48.787528868360276,1031,484,167,250,12,118,76272,91235100.0,46.8,50.3,688,19.312436804853387,69.56521739130434,18.402426693629927,50.15166835187057
36005027900,7379,5794,14.636129556850522,10.760265618647512,68.07155441116683,4.417942810678953,0.29814337986176986,1.8159642227944168,73.97307559544356,26.924404556437693,3541,1277,855,830,347,232,56033,195614500.0,40.3,40.5,1976,29.541497388276262,57.34184561810795,10.621009866511898,44.54439930354034
36005030000,6021,4870,31.672479654542435,10.181033050988209,49.47683109118087,7.008802524497591,0.0,1.6608536787908985,87.67967145790554,30.431211498973305,3160,1217,675,803,229,236,59899,187574500.0,40.6,39.5,1323,46.30764269590455,42.66365688487584,5.353111899387295,35.79490486939697
36005031900,633,628,50.55292259083728,14.691943127962084,27.014218009478675,6.003159557661927,0.0,1.7377567140600316,98.40764331210191,10.509554140127388,222,44,93,72,0,13,-666666666,-666666666.0,20.2,20.5,26,14.351851851851851,12.037037037037036,8.333333333333332,3.7037037037037033
36005034000,5606,3934,5.440599357830895,38.19122368890475,48.62647163753122,3.5140920442383163,2.7470567249375666,1.48055654655726,76.13116420945603,15.963396034570412,2594,444,684,766,463,237,52772,106968700.0,40.1,29.4,1526,29.849564528899446,60.4117181314331,15.47901821060966,43.6658749010293
36005034400,2172,1746,2.85451197053407,33.33333333333333,54.41988950276243,6.8139963167587485,2.578268876611418,0.0,78.4077892325315,30.584192439862544,1159,364,267,237,162,129,63017,53409500.0,39.7,39.3,501,46.32867132867133,43.79370629370629,7.43006993006993,34.96503496503497
36005035000,2063,1630,5.671352399418323,57.92535142995637,27.96897721764421,6.349975763451285,1.0179350460494425,1.0664081434803683,85.21472392638036,30.67484662576687,1152,281,359,220,131,161,74583,57714400.0,39.8,39.8,478,43.26047358834244,43.533697632058285,11.475409836065573,29.87249544626594
36005036100,5576,4222,0.44835007173601144,26.291248206599715,73.20659971305595,0.05380200860832138,0.0,0.0,57.74514448128849,4.784462340123164,1890,359,913,362,50,206,21947,96589400.0,33.7,33.7,1145,20.676274944567627,63.470066518847,21.396895787139687,42.073170731707314
36005036501,3901,2929,0.30761343245321715,44.86029223276083,54.34503973340169,0.0,0.0,0.4870546013842604,68.79481051553431,12.80300443837487,1427,297,547,351,40,192,27304,55610900.0,35.7,34.3,935,25.726435152374204,66.26506024096386,26.151665485471298,39.68816442239547
36005022403,3194,2532,19.755792110206638,23.60676268002505,53.9448966812774,0.8140262993112084,0.31308703819661865,1.5654351909830932,84.24170616113744,25.98736176935229,1497,471,379,394,27,226,51767,77789100.0,36.3,35.3,1039,17.04623878536922,71.70462387853692,10.766045548654244,56.245686680469284
36005023703,5574,3986,1.2737710800143525,17.133118048080373,80.64226767133118,0.3588087549336204,0.41263006817366343,0.1794043774668102,66.18163572503764,4.892122428499749,2250,264,1003,495,249,239,30109,69546300.0,36.2,27.7,1489,8.9128305582762,72.91870714985309,24.191968658178258,48.72673849167482
36005024501,4871,3366,1.3960172449189079,15.992609320468077,80.78423321699856,0.8211866146581811,1.0059536029562717,0.0,63.6660724896019,6.743909685086155,1770,242,666,325,112,425,24146,49439900.0,36.7,29.3,1016,26.833428084138717,57.76009096077317,12.90505969300739,41.78510517339397
36005024502,3677,2661,0.7614903453902638,21.512102257274954,77.72640739733478,0.0,0.0,0.0,59.15069522735814,10.33446072904923,1547,278,801,296,45,127,29835,52979100.0,37.3,33.2,952,11.721366376423308,63.764233087742795,15.67314132618888,43.13462826523778
36005022404,4203,3500,17.749226742802758,17.939566975969544,56.41208660480609,5.567451820128479,1.5703069236259815,0.7613609326671426,83.11428571428571,31.71428571428571,2297,808,607,520,129,233,53346,119714700.0,41.1,37.8,1408,29.877515310586176,61.592300962379696,19.378827646544185,40.113735783027124
36005023704,3803,2563,0.36813042334998686,17.749145411517222,80.75203786484354,0.0,0.6836707862214042,0.4470155140678412,62.34880998829496,5.774483027701912,1218,146,569,179,123,201,20679,38868100.0,37.3,29.0,797,13.349917081260365,66.08623548922057,17.5787728026534,48.507462686567166
36005026701,4185,2864,2.795698924731183,11.589008363201913,73.40501792114695,12.210274790919952,0.0,0.0,74.23184357541899,21.648044692737432,1965,485,732,292,142,314,47656,77908100.0,37.9,31.5,1292,17.198879551820728,72.38095238095238,14.565826330532214,53.94957983193277
36005026702,7895,5571,2.98923369221026,12.298923369221026,83.11589613679544,0.0,0.0,1.5959468017732743,64.60240531322923,15.149883324358285,3490,554,1532,699,205,500,35557,130384500.0,36.8,31.8,1930,23.28332371609925,55.68378534333526,17.541834968263128,38.14195037507213
36005027401,4693,3701,69.61431919880673,1.8751331770722353,26.635414447048795,1.8751331770722353,0.0,0.0,82.59929748716563,26.77654687922183,2251,731,533,607,270,110,87500,178268600.0,43.9,44.3,654,61.24380351509689,29.472735466426318,12.933753943217665,15.953132041460115
36005027402,3481,2910,65.41223786268314,2.9014650962367137,27.520827348463083,1.3789141051422005,1.7236426314277506,1.062912956047113,88.10996563573883,29.896907216494846,1588,664,267,354,162,141,88654,128789800.0,44.4,50.1,375,64.4286636539703,24.20916720464816,5.939315687540349,16.655907036797934
36005044901,1763,1548,77.14123652864436,8.848553601815087,11.684628474191719,1.8150879183210438,0.0,0.5104934770277936,93.47545219638242,37.4031007751938,917,457,148,166,131,15,69200,79005500.0,35.4,40.1,382,51.27353266888151,42.30343300110742,7.973421926910299,26.688815060908084
36005046201,28109,24166,7.054679995730904,58.42612686328222,28.851969120210608,3.116439574513501,0.34152762460421926,2.2092568216585433,86.24099975171728,23.71099892410825,13266,3589,3563,4845,618,651,52601,815231700.0,41.9,49.1,7845,28.10835841630007,60.54642278305163,29.350929999228214,29.929767693138842
36005046202,9912,7400,1.1501210653753027,62.81275221953187,31.900726392251816,1.261097659402744,2.0581113801452786,0.8171912832929782,82.66216216216216,20.986486486486484,3921,1237,1086,796,409,393,62532,195654600.0,40.9,37.3,1691,41.39254385964912,46.35416666666667,15.268640350877194,28.481359649122805
36005022500,8499,5846,3.6710201200141195,17.931521355453583,76.91493116837275,1.4825273561595482,0.0,0.0,68.25179609989736,10.70817653096134,3511,621,1504,605,131,650,38489,139535100.0,35.5,28.3,2256,23.079222720478327,67.4439461883408,12.73542600896861,51.53961136023917
36005022800,6128,4824,17.75456919060052,15.241514360313316,48.58028720626632,13.348563968668406,0.0,5.075065274151436,79.97512437810946,24.97927031509121,3168,873,557,823,225,690,58431,164306600.0,37.2,36.3,2153,24.833702882483372,68.19765600253405,14.82420019005385,48.907190370605
36005023200,2476,1874,28.432956381260098,12.722132471728594,50.0,5.61389337641357,3.109854604200323,0.12116316639741519,75.82710779082177,19.2102454642476,1070,253,366,253,40,158,56528,58148000.0,40.6,39.0,483,31.132075471698112,45.56603773584906,11.981132075471699,32.35849056603774
36005004600,1961,1367,4.844467108618052,34.52320244773075,60.63233044365119,0.0,0.0,0.0,67.81272860277981,15.72787125091441,623,113,297,46,18,149,21360,29806400.0,36.7,34.8,344,27.631578947368425,56.57894736842105,19.901315789473685,36.67763157894737
36005006000,1386,1040,0.6493506493506493,19.047619047619047,74.0981240981241,2.5974025974025974,3.6075036075036073,0.0,69.13461538461539,12.788461538461537,559,108,196,149,42,64,34898,20170000.0,40.6,32.0,277,36.96857670979667,51.20147874306839,21.811460258780038,28.835489833641404
36005007000,4378,3303,3.4490634993147555,22.224760164458658,55.34490634993148,13.750571037003198,0.5710370031978073,4.659661946094107,69.24008477141992,13.987284287011809,1854,418,561,442,256,177,50500,84091700.0,36.8,32.7,1170,26.93194925028835,67.47404844290658,17.762399077277973,49.13494809688581
36005007300,4297,2902,1.6755876192692576,25.413078892250407,70.97975331626716,0.0,1.6523155690016291,0.27926460321154295,60.06202618883528,7.098552722260509,1307,167,634,226,202,78,22344,44391700.0,39.0,28.5,845,14.374034003091191,65.30139103554869,15.301391035548686,48.91808346213292
36005007400,3634,2809,2.1739130434782608,28.591084204733075,66.6758392955421,0.0,0.7705008255365988,1.7886626307099616,80.77607689569241,15.877536489854041,1534,303,417,443,123,248,39537,80811500.0,40.7,33.9,604,50.033222591362126,40.1328903654485,11.760797342192692,26.910299003322258
36005007500,6692,4700,0.9115361625821877,35.25104602510461,61.52121936640766,0.7471607890017932,1.3598326359832638,0.20920502092050208,73.06382978723404,14.297872340425533,2507,481,898,763,93,272,30706,100028400.0,35.6,30.3,1820,17.77145180967873,74.01382675884506,10.858072387149248,62.83041886945912
36005007700,2022,1465,3.066271018793274,18.64490603363007,77.34915924826905,0.9396636993076163,0.0,0.0,63.208191126279864,12.42320819112628,797,196,144,231,130,96,38417,28630900.0,37.0,29.7,421,30.614973262032088,56.28342245989305,1.6042780748663104,50.0
36005008900,3218,2280,1.4916096954630205,23.27532628962088,75.2330640149161,0.0,0.0,0.0,73.20175438596492,15.350877192982457,1185,264,392,179,117,233,28642,49499100.0,41.8,32.9,558,20.40104620749782,48.64864864864865,5.754141238012206,41.49956408020924
36005009800,4756,3764,3.511354079058032,17.788057190916735,72.14045416316233,4.247266610597141,1.9343986543313711,0.37846930193439865,82.27948990435706,25.850159404888416,2111,740,552,603,94,122,68487,130338500.0,45.0,44.3,824,53.17577548005909,40.57114721811915,15.411127523387494,24.519940915805023
36005012500,3860,2979,1.3730569948186528,28.62694300518135,66.81347150259067,2.4093264248704664,0.0,0.7772020725388601,71.93689157435381,18.093319906008727,1749,561,513,275,135,265,34903,71030000.0,36.3,32.3,900,33.03938859494415,52.910052910052904,12.815990593768372,39.741328630217524
36005014900,4419,3341,2.0592894319981894,37.76872595609866,56.438108169269064,0.0,1.6519574564381083,2.081918986195972,67.25531278060461,12.870398084405865,1730,346,699,315,56,314,29079,65566200.0,39.9,34.8,1004,32.94117647058823,59.05882352941176,33.352941176470594,25.705882352941178
36005019700,7561,5271,1.0051580478772648,17.5373627827007,74.34201825155404,6.176431688930036,0.5951593704536436,0.34386985848432744,63.782963384557014,7.550749383418706,3154,367,1191,712,341,543,35100,114867200.0,39.2,30.0,2728,5.4816736944534545,88.48524164774571,18.001946156341226,69.21829386960752
36005022000,2007,1443,1.4947683109118086,22.421524663677133,70.802192326856,5.281514698555057,0.0,0.0,72.6957726957727,9.286209286209287,725,117,259,164,25,160,35781,38939000.0,40.1,32.6,479,22.002820874471084,67.55994358251057,12.270803949224259,53.73765867418901
36005022702,1607,1209,0.0,16.365899191039205,72.24642190416925,7.093963907902924,3.422526446795271,0.8711885500933417,64.01985111662532,23.076923076923077,662,121,235,152,61,93,26554,23745500.0,36.1,32.1,433,17.357910906298002,66.51305683563749,21.19815668202765,45.314900153609834
36005023100,1537,1176,2.6024723487312946,35.71893298633702,61.67859466493169,0.0,0.0,0.0,58.50340136054422,6.717687074829932,524,70,217,130,29,78,29263,16371400.0,39.0,35.8,306,23.617021276595747,65.1063829787234,22.340425531914892,42.765957446808514
36005023501,3184,2505,0.6595477386934673,5.307788944723618,92.43090452261306,0.6909547738693468,0.7537688442211055,0.157035175879397,65.70858283433134,3.1137724550898205,1399,282,634,170,96,217,34591,41724300.0,45.1,34.8,901,19.776951672862452,66.98884758364312,19.33085501858736,43.56877323420074
