Tract,INTPTLAT,INTPTLON
36005020000,+40.8428349,-073.8455162
36005020501,+40.8474409,-073.9236597
36005020502,+40.8513770,-073.9194800
36005020900,+40.8430704,-073.9150173
36005021001,+40.8408055,-073.8582794
36005021002,+40.8384785,-073.8565158
36005021700,+40.8481818,-073.9133082
36005022101,+40.8382778,-073.9181232
36005022102,+40.8376586,-073.9160957
36005022200,+40.8356878,-073.8552050
36005023800,+40.8437081,-073.8610936
36005016000,+40.8318544,-073.8006782
36005016200,+40.8288502,-073.8217592
36005016500,+40.8431089,-073.9002773
36005017500,+40.8308225,-073.9136512
36005021501,+40.8494660,-073.9182452
36005021502,+40.8480444,-073.9167104
36005023000,+40.8492873,-073.8660154
36005025300,+40.8610069,-073.9045549
36005026100,+40.8666390,-073.9059021
36005027900,+40.8825633,-073.8972804
36005030000,+40.8521940,-073.8312298
36005031900,+40.9138727,-073.9111066
36005034000,+40.8684405,-073.8629232
36005034400,+40.8683644,-073.8571317
36005035000,+40.8685221,-073.8482552
36005036100,+40.8422604,-073.8795761
36005036501,+40.8454083,-073.8857769
36005022403,+40.8564763,-073.8654305
36005023703,+40.8600426,-073.8995706
36005024501,+40.8528793,-073.9154618
36005024502,+40.8551094,-073.9135653
36005022404,+40.8527445,-073.8663009
36005023704,+40.8562675,-073.9019054
36005026701,+40.8693519,-073.9012276
36005026702,+40.8722664,-073.9001190
36005027401,+40.8404445,-073.8226303
36005027402,+40.8429776,-073.8125504
36005044901,+40.8974999,-073.8733943
36005046201,+40.8756347,-073.8269340
36005046202,+40.8794276,-073.8341062
36005022500,+40.8401399,-073.9109720
36005022800,+40.8534896,-073.8635363
36005023200,+40.8469746,-073.8633164
36005004600,+40.8224189,-073.8691776
36005006000,+40.8377073,-073.8779705
36005007000,+40.8298152,-073.8656233
36005007300,+40.8146752,-073.9093890
36005007400,+40.8194734,-073.8528608
36005007500,+40.8187768,-073.9086238
36005007700,+40.8197339,-073.9044231
36005008900,+40.8185668,-073.8939061
36005009800,+40.8254505,-073.8495052
36005012500,+40.8286360,-073.8935227
36005014900,+40.8326100,-073.9014822
36005019700,+40.8352051,-073.9199778
36005022000,+40.8434766,-073.8723175
36005022702,+40.8445224,-073.9132321
36005023100,+40.8462192,-073.9024562
36005023501,+40.8521471,-073.9045719
36005001600,+40.8188478,-073.8580764
36005002400,+40.8157352,-073.8710826
36005003100,+40.8098988,-073.9056901
36005003800,+40.8202946,-073.8633435
36005004100,+40.8113856,-073.9194099
36005011900,+40.8232738,-073.8895720
36005011502,+40.8200657,-073.8865202
36005014100,+40.8237653,-073.9122950
36005015100,+40.8310843,-073.8984813
36005015300,+40.8334809,-073.8941430
36005015500,+40.8355262,-073.8899864
36005023600,+40.8450907,-073.8672583
36005024300,+40.8524282,-073.9115345
36005042902,+40.8771176,-073.8739090
36005033000,+40.8616561,-073.8660255
36005035800,+40.8739819,-073.8425963
36005037100,+40.8472204,-073.8873781
36005038500,+40.8561826,-073.8925056
36005042100,+40.8814613,-073.8827340
36005045101,+40.8974545,-073.8643137
36005011800,+40.8097065,-073.8001663
36005020400,+40.8408659,-073.8508567
36005024800,+40.8553409,-073.8584097
36005040800,+40.8897429,-073.8617074
36005048400,+40.8863051,-073.8345873
36005024700,+40.8551123,-073.9187947
36005026602,+40.8459730,-073.8306203
36005036400,+40.8736167,-073.8492139
36005044902,+40.8988257,-073.8689887
36005022300,+40.8405251,-073.9150885
36005025400,+40.8484985,-073.8524773
36005029600,+40.8553721,-073.8450221
36005037600,+40.8745386,-073.8692050
36005002701,+40.8050606,-073.9163335
36005006500,+40.8173983,-073.9216592
36005000100,+40.7929362,-073.8812065
36005006700,+40.8195023,-073.9181767
36005040702,+40.8691444,-073.8869972
36005015700,+40.8329991,-073.8854500
36005038000,+40.8780880,-073.8624172
36005002500,+40.8070025,-073.9208749
36005006100,+40.8222516,-073.9226669
36005022701,+40.8468498,-073.9110148
36005009200,+40.8323395,-073.8521545
36005012701,+40.8256346,-073.8923283
36005013500,+40.8271333,-073.9020964
36005013800,+40.8217344,-073.7909998
36005016100,+40.8368465,-073.8850152
36005017100,+40.8404231,-073.9075041
36005019500,+40.8304774,-073.9225235
36005022902,+40.8437952,-073.9071529
36005023302,+40.8481852,-073.9047291
36005024400,+40.8462265,-073.8575198
36005026900,+40.8659029,-073.9094996
36005027300,+40.8738945,-073.9032292
36005029500,+40.8849350,-073.9085679
36005029700,+40.8849310,-073.9118383
36005031000,+40.8612380,-073.8360660
36005031600,+40.8619716,-073.8487247
36005031800,+40.8619545,-073.8515677
36005032300,+40.9053418,-073.9075805
36005032400,+40.8613415,-073.8597052
36005033400,+40.8600460,-073.8742257
36005036300,+40.8445438,-073.8827576
36005036902,+40.8425596,-073.8929199
36005037300,+40.8486733,-073.8901415
36005037800,+40.8797827,-073.8666133
36005037900,+40.8515742,-073.8987777
36005038700,+40.8580753,-073.8892309
36005039600,+40.8844238,-073.8589556
36005040100,+40.8646118,-073.8976516
36005040600,+40.8879511,-073.8570053
36005016700,+40.8404808,-073.9021708
36005022401,+40.8550184,-073.8685096
36005002800,+40.8225183,-073.8782336
36005007900,+40.8157920,-073.9048714
36005015800,+40.8248672,-073.8186182
36005001900,+40.8009990,-073.9093729
36005004200,+40.8239305,-073.8620068
36005005100,+40.8132061,-073.9275676
36005005001,+40.8249970,-073.8778533
36005005002,+40.8273629,-073.8784350
36005005300,+40.8516737,-073.9223642
36005006300,+40.8242061,-073.9287302
36005007600,+40.8333750,-073.8676557
36005009000,+40.8089385,-073.8407005
36005009300,+40.8056822,-073.8856083
36005009600,+40.8347812,-073.8437163
36005011700,+40.8072371,-073.8749566
36005014701,+40.8342262,-073.9053292
36005042300,+40.8770682,-073.8773210
36005042500,+40.8710473,-073.8790905
36005042901,+40.8749499,-073.8742925
36005044200,+40.9038714,-073.8461971
36005050400,+40.8695935,-073.7958478
36005030100,+40.8832399,-073.9179338
36005027600,+40.8524507,-073.8209567
36005021800,+40.8374070,-073.8697403
36005033800,+40.8684380,-073.8658167
36005036502,+40.8423877,-073.8878255
36005004400,+40.8265155,-073.8664136
36005004800,+40.8270172,-073.8743044
36005005902,+40.8241299,-073.9234195
36005008300,+40.8136778,-073.9018400
36005008400,+40.8156088,-073.8477354
36005014702,+40.8365350,-073.9043914
36005015200,+40.8263809,-073.8249096
36005015900,+40.8223738,-073.8935545
36005017701,+40.8331958,-073.9111774
36005017702,+40.8361776,-073.9095498
